bairro,n_transacoes,rs_m2_mediana,rs_m2_p25,rs_m2_p75
JARDIM EUROPA,382,12714,10757,15386
TRES FIGUEIRAS,707,11808,8612,16921
JARDIM DO SALSO,1131,9079,5717,10940
BOA VISTA,1254,8783,5972,12377
MONT SERRAT,1496,8548,5890,12376
RIO BRANCO,2220,8435,5254,12871
BELA VISTA,1293,7755,6238,11206
MOINHOS VENTO,1361,7296,4991,10561
VILA JARDIM,524,6849,3822,9754
PETROPOLIS,4157,6726,4607,10011
BELEM VELHO,55,6578,4664,8000
AUXILIADORA,1078,6361,4656,11184
SAO SEBASTIAO,1016,6265,3932,7703
CASCATA,213,6078,4457,8128
CHAPEU DO SOL,864,5970,4283,6326
CIDADE BAIXA,1919,5897,4561,10202
PASSO DA AREIA,2250,5867,3928,8605
JARDIM BOTANICO,1026,5771,4249,7552
HIGIENOPOLIS,832,5726,4520,7381
CHACARA PEDRAS,398,5655,4393,7006
PEDRA REDONDA,46,5641,4830,6867
MENINO DEUS,2891,5612,4451,8561
JARDIM LINDOIA,812,5605,4096,7123
BOM FIM,1245,5515,4428,7187
PASSO PEDRAS,150,5357,4131,6609
TRISTEZA,1678,5335,3915,7023
INDEPENDENCIA,730,5317,4313,7310
AZENHA,1243,5193,3952,6898
JARDIM CARVALHO,1324,5134,4386,6506
CRISTO REDENTOR,1520,5047,3839,6865
COSTA E SILVA,672,5043,4242,5528
PARQUE STA FE,1415,5027,3317,5622
BELEM NOVO,217,5019,2985,6683
SANTA M GORETTI,255,5011,3302,7737
AGRONOMIA,10,4937,2604,7109
JARDIM ITU,1640,4934,3771,5771
SANTANA,1711,4870,3880,6602
PASSO DAS PEDRA,1331,4844,4422,5093
FARROUPILHA,81,4795,4146,5777
VILA CONCEICAO,69,4756,3414,6974
GLORIA,610,4744,3750,6020
CENTRO HISTORIC,3843,4728,3846,5687
,126,4633,2920,5031
TERESOPOLIS,1114,4620,3629,6339
IPANEMA,1337,4606,3480,4959
SANTA CECILIA,442,4601,3804,6324
VILA IPIRANGA,1610,4585,3808,5893
CAMPO NOVO,1632,4490,3996,4801
PRAIA DE BELAS,208,4485,3859,9523
SANTA TEREZA,996,4461,3211,5097
STA ROSA LIMA,1678,4457,2511,5146
PARTENON,2640,4447,3457,6157
LOMBA PINHEIRO,1654,4424,3459,5701
VILA ASSUNCAO,241,4393,3412,5548
VILA NOVA,2347,4385,3156,5417
CRISTAL,1583,4354,3482,6930
ABERTA DOS MORR,594,4206,3112,4586
SANTO ANTONIO,1036,4164,3600,5140
HIPICA,2379,4156,3114,5073
SARANDI,2446,4140,3335,5262
MORRO SANTANA,1349,4103,3234,4843
SERRARIA,335,4086,3321,4273
RESTINGA,3327,4001,2913,4952
BOM JESUS,446,3993,3174,5172
MARIO QUINTANA,1543,3975,3040,5009
SAO JOAO,937,3947,3218,5666
PONTA GROSSA,120,3937,2636,6322
SETIMO CEU,78,3894,3254,4545
JAR SAO PEDRO,244,3871,3075,4587
JARDIM FLORESTA,72,3838,3275,4568
MEDIANEIRA,639,3836,3078,5111
NONOAI,1088,3815,3133,5265
CAMAQUA,1026,3784,3192,4798
CAVALHADA,1973,3736,3020,4561
VILA SAO JOSE,301,3667,2910,4119
JARDIM SABARA,696,3642,3136,5182
FLORESTA,912,3620,2716,4756
HUMAITA,1521,3608,2904,4747
VL JOAO PESSOA,186,3533,2779,4620
FARRAPOS,382,3526,2493,4212
JARDIM ISABEL,160,3465,2972,4327
CEL AP BORGES,75,3454,3102,4174
SAO GERALDO,707,3406,2610,6152
GUARUJA,261,3178,2546,3836
ESPIRITO SANTO,196,3108,2404,3720
JAR LEOPOLDINA,1750,3075,2534,3672
NAVEGANTES,233,3055,2566,3871
ANCHIETA,9,2913,2165,4000
RUBEM BERTA,1545,2812,2107,3913
LAGEADO,8,2674,1912,3334
LAMI,8,2192,1601,3095
PITINGA,6,1980,1850,2110
SAO CAETANO,8,1941,1645,2094
